Source,IslandID,TaxonOrig,GenusL69,SpeciesL69,,SpeciesID,SubspID,Sex,Plumage,,WingL,,,BeakH,,UBeakL,NUBkL
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Black,,83,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,78,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,78,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,79,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,87,,,21,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,83,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,84,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,P. black,,83,,,0,,23,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,78,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,79,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,84,,,21,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,83,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,81,,,21,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,80,,,19,,0,0
